,time,open,close,high,low,vol
0,1498183200,2800,2798.87,2830,2785.77,21.6429
1,1498186800,2798.87,2796.36,2808.13,2784.97,135.6939
2,1498190400,2796.36,2791.33,2807.38,2768.09,137.6038
3,1498194000,2791.33,2825.53,2825.53,2783.87,138.8444
4,1498197600,2825.53,2817.25,2853.2,2803.27,139.6101
5,1498201200,2817.25,2811.96,2845.75,2791.97,131.9338
6,1498204800,2811.96,2806.34,2849.11,2791.88,122.9826
7,1498208400,2805.35,2800.39,2823.49,2789.88,122.2727
8,1498212000,2800.39,2795.17,2805.67,2783.9,119.6731
9,1498215600,2795.17,2807.55,2825.73,2778.37,122.2335
10,1498219200,2807.55,2780.39,2815.92,2772.81,112.092
11,1498222800,2780.39,2791.96,2796.03,2774.1,110.142
12,1498226400,2791.96,2794.41,2798.43,2789.07,101.88
13,1498230000,2792.19,2806.84,2809.98,2792.19,88.6454
14,1498233600,2806.84,2795.52,2810.97,2789.69,97.8994
15,1498237200,2799.62,2790.54,2814.32,2775.47,130.099
16,1498240800,2790.54,2773.89,2794.49,2772.84,142.1838
17,1498244400,2773.89,2787.28,2792.58,2772.58,136.5996
18,1498248000,2785.11,2788.6,2790.21,2772.83,146.0464
19,1498251600,2788.6,2791.27,2796.14,2779.73,148.0714
20,1498255200,2791.27,2779.46,2798.42,2779.46,147.519
21,1498258800,2779.46,2770.43,2793.84,2770,152.8654
22,1498262400,2770.43,2785.03,2823.07,2770.43,158.036
23,1498266000,2785.03,2768.12,2785.41,2767.54,143.9448
24,1498269600,2768.12,2773.77,2780.18,2766.43,141.2557
25,1498273200,2773.77,2780.6,2781.97,2769.41,133.1991
26,1498276800,2780.6,2753.89,2780.82,2751.58,137.9682
27,1498280400,2753.89,2764.63,2775.41,2746.04,151.5746
28,1498284000,2764.63,2757.18,2772.73,2754.55,118.401
29,1498287600,2759.68,2761.14,2769.06,2752.75,130.7322
30,1498291200,2761.14,2744.75,2764.9,2717.57,129.6581
31,1498294800,2744.75,2746.2,2747.92,2717.66,124.962
32,1498298400,2746.2,2730.89,2747.29,2720.56,116.5896
33,1498302000,2730.89,2750.61,2751.47,2723.43,124.0299
34,1498305600,2750.61,2748.32,2763.66,2719.03,116.9284
35,1498309200,2748.32,2739.48,2765.81,2717.89,133.87
36,1498312800,2739.48,2733.52,2749.85,2705.94,119.1344
37,1498316400,2733.52,2742.38,2746.65,2697.88,116.0688
38,1498320000,2742.38,2718.73,2758.71,2709.72,133.1734
39,1498323600,2718.73,2726.54,2733.81,2700.35,124.4935
40,1498327200,2726.54,2717.05,2726.54,2706.12,149.1596
41,1498330800,2719.28,2711.21,2736.52,2708.1,151.0649
42,1498334400,2711.21,2739.37,2757.7,2705.22,117.2546
43,1498338000,2757.7,2723.58,2759.3,2710.22,85.4692
44,1498341600,2723.58,2718.95,2750.38,2687.82,156.6175
45,1498345200,2718.95,2722.48,2734.55,2698.1,172.9347
46,1498348800,2722.48,2702.92,2726.65,2690.49,189.6457
47,1498352400,2704.14,2688.83,2708.98,2679.74,198.0229
48,1498356000,2688.83,2704.55,2718.95,2682.21,164.4619
49,1498359600,2710.14,2603.06,2712.58,2590.15,126.2347
50,1498363200,2603.06,2632.73,2640.54,2592.24,134.8716
51,1498366800,2633.12,2637,2659.79,2630.08,144.0653
52,1498370400,2637,2618.08,2647.95,2617.57,141.587
53,1498374000,2618,2594.04,2640.68,2592.12,141.1776
54,1498377600,2594.04,2605.36,2607.68,2590.2,129.2624
55,1498381200,2605.36,2633.91,2640.17,2604.41,142.5722
56,1498384800,2633.91,2627.99,2638.91,2616.51,125.8437
57,1498388400,2627.99,2643.39,2681.22,2627.42,124.3503
58,1498392000,2645.56,2662.31,2673.29,2641.66,116.1852
59,1498395600,2662.31,2651.03,2678.69,2641.55,110.5523
60,1498399200,2651.03,2641.37,2664.5,2637.75,101.5384
61,1498402800,2641.37,2591.98,2653.21,2573.16,103.2984
62,1498406400,2591.98,2596.73,2611.87,2576.11,136.7808
63,1498410000,2596.73,2589.87,2618.63,2589.87,130.9405
64,1498413600,2589.87,2593.83,2599.44,2562.87,137.0046
65,1498417200,2587.24,2549.74,2604.05,2509.58,150.2934
66,1498420800,2549.74,2474.99,2552.76,2461.48,152.6527
67,1498424400,2474.99,2375.95,2480.36,2369.08,150.7795
68,1498428000,2375.95,2434.35,2481.97,2278.54,144.4752
69,1498431600,2434.35,2520.68,2520.68,2427.65,148.1865
70,1498435200,2520.68,2501.56,2520.68,2454.95,160.3006
71,1498438800,2501.56,2520.22,2520.22,2448.84,147.6941
72,1498442400,2520.22,2491.16,2534.44,2460.37,144.2259
73,1498446000,2493.52,2495.21,2545.23,2492.45,137.3707
74,1498449600,2495.21,2441.66,2513.91,2440.81,142.8875
75,1498453200,2441.66,2406.41,2459.83,2396.17,147.0056
76,1498456800,2406.41,2287.64,2418,2275.84,178.2159
77,1498460400,2287.64,2304.89,2320.42,2252.39,190.4504
78,1498464000,2300.18,2262.09,2316.49,2246.84,151.5188
79,1498467600,2262.09,2277.69,2287.7,2191.7,175.526
80,1498471200,2277.69,2335.53,2336.63,2270.44,186.5244
81,1498474800,2332.4,2309.38,2336.25,2259.81,187.2986
82,1498478400,2309.38,2268.39,2310.82,2246.23,163.5037
83,1498482000,2268.39,2314.09,2314.09,2265.25,157.9169
84,1498485600,2314.09,2239.1,2314.09,2227.73,168.511
85,1498489200,2239.1,2150.81,2244.22,2138.36,164.5688
86,1498492800,2146.18,2094.64,2156.98,2040.56,153.8114
87,1498496400,2092.17,2122.94,2129.61,2084.04,156.1125
88,1498500000,2122.94,2042.73,2129.73,2039.89,164.6573
89,1498503600,2042.73,2070.53,2075.65,2016.57,161.7575
90,1498507200,2070.53,2089.03,2092.23,2018.38,166.9466
91,1498510800,2089.03,2192.83,2195.26,2084.53,174.4712
92,1498514400,2192.83,2182.55,2218.44,2182.55,169.6642
93,1498518000,2182.55,2304.16,2312.64,2182.55,168.8034
94,1498521600,2304.16,2284.21,2324.81,2247.22,160.8751
95,1498525200,2284.21,2293.95,2313.89,2270.84,170.8899
96,1498528800,2293.95,2352.2,2353.6,2285.04,180.4135
97,1498532400,2352.2,2462.5,2463.86,2335.44,175.558
98,1498536000,2462.97,2480.67,2527.94,2421.69,176.8323
99,1498539600,2480.67,2421.79,2506.83,2421.79,178.6486
100,1498543200,2421.79,2314.18,2436.54,2314.18,217.1047
101,1498546800,2314.18,2288.3,2345.97,2288.2,178.209
102,1498550400,2288.3,2274.69,2310.8,2263.82,178.8443
103,1498554000,2274.69,2273.81,2285.54,2252.7,171.1938
104,1498557600,2273.81,2287.38,2322.71,2255.89,170.6377
105,1498561200,2287.38,2159.72,2287.38,2159.72,172.9119
106,1498564800,2159.72,2158.31,2166.88,2102.43,191.2643
