,time,open,close,high,low,vol
0,1495713600,1500,1700,1700,1500,1.241
1,1495728000,1700,1700,1700,1700,0
2,1495742400,1700,1700,1700,1700,0
3,1495756800,1700,1700,1700,1700,0
4,1495771200,1700,1700,1700,1700,0
5,1495785600,1700,1700,1700,1700,0
6,1495800000,1700,1700,1700,1700,0
7,1495814400,1680,1680,1680,1680,0.01
8,1495828800,1680,1680,1680,1680,0
9,1495843200,1212,1200,1212,1200,7.6939
10,1495857600,1200,1000,1200,1000,41.231
11,1495872000,1000.1,1000.1,1000.1,1000.1,0.01
12,1495886400,1100,1100,1100,1100,2.98
13,1495900800,1100,1100,1100,1100,0
14,1495915200,1100,1100,1100,1100,0
15,1495929600,1100,1100,1100,1100,0
16,1495944000,1100,1100,1100,1100,0
17,1495958400,1100,1100,1100,1100,0
18,1495972800,1260.54,1190.54,1266.61,1000,9.0884
19,1495987200,1191.4,1188.77,1196.01,1188.18,4.0752
20,1496001600,1188.77,1188.77,1188.77,1188.77,0
21,1496016000,1188.77,1243,1245.7,1188.77,1326.1248
22,1496030400,1242,1280,1290.3,1235.2,1132.9969
23,1496044800,1280,1311.14,1311.14,1277.5,23.3603
24,1496059200,1294.99,1375.62,1383.76,1287.13,53.6019
25,1496073600,1377.78,1377.96,1389.88,1357.79,16.3135
26,1496088000,1377.96,1448.91,1449.8,1375.39,22.5206
27,1496102400,1448.91,1518.98,1518.98,1442.48,23.7975
28,1496116800,1518.98,1590.48,1611.01,1510.99,49.2471
29,1496131200,1596.07,1545.99,1600.26,1504.57,50.2757
30,1496145600,1545.5,1498,1589.99,1472.99,37.0032
31,1496160000,1498,1582.3,1582.99,1498,11.9421
32,1496174400,1582.3,1790,1790.11,1577.09,27.8077
33,1496188800,1790,1760.73,1796.02,1748.67,41.8393
34,1496203200,1760.59,1730.01,2200,1680.07,74.0678
35,1496217600,1730.88,1765,1765.84,1721.3,39.0211
36,1496232000,1764,1764.48,1847.79,1745.32,85.2192
37,1496246400,1764.48,1716.75,1766.19,1702,59.2829
38,1496260800,1716.75,1724.8,1755.88,1712.75,38.6734
39,1496275200,1724.8,1742,1750,1698.88,48.5837
40,1496289600,1745,1717.54,1746.05,1709.99,12.4519
41,1496304000,1717.54,1658.6,1721.58,1654,37.2341
42,1496318400,1654,1638.19,1704.62,1611.18,106.0099
43,1496332800,1638,1615.95,1652,1604,11.7152
44,1496347200,1616.16,1647.99,1672.57,1610.52,18.4255
45,1496361600,1649.6,1685,1724,1645.06,82.7265
46,1496376000,1684.09,1645.7,1685,1645.2,162.8137
47,1496390400,1658,1658,1658,1621.89,19.3091
48,1496404800,1658,1625.19,1678,1625.19,58.3823
49,1496419200,1630.29,1626.62,1645,1613.83,11.9107
50,1496433600,1626.62,1637.23,1645,1620.07,15.0409
51,1496448000,1635.81,1615.18,1646.3,1615.18,21.3342
52,1496462400,1615.01,1579.5,1615.3,1539.37,58.2534
53,1496476800,1579.5,1568.5,1584.01,1561,20.9985
54,1496491200,1563.43,1561,1584.01,1561,18.5679
55,1496505600,1561,1561,1604.77,1561,35.7136
56,1496520000,1561,1580.4,1585.97,1561,12.0267
57,1496534400,1580.28,1649.85,1681,1561,104.4691
58,1496548800,1649.85,1637.57,1659.89,1625.03,11.5646
59,1496563200,1637.57,1654.99,1660.94,1637.45,10.8121
60,1496577600,1654.99,1660.94,1660.94,1645,19.374
61,1496592000,1660.94,1680.37,1680.37,1660.94,62.6414
62,1496606400,1680.37,1682.26,1682.26,1680.37,11.5428
63,1496620800,1682,1718.99,1729,1682,29.2102
64,1496635200,1716,1717,1734.43,1711.84,14.4823
65,1496649600,1710,1722,1730.28,1698.1,14.9642
66,1496664000,1719.54,1726,1748.91,1719.54,10.6932
