,time,open,close,high,low,vol
0,1498615200,270,272.97,273.78,270,772.28
1,1498622400,272.8,272.5,275.5,268.3,2456.94
2,1498629600,272.52,276.21,278.1,268.4,2231.08
3,1498636800,276.21,284.1,289,276.03,1963.1272
4,1498644000,284,284.8,284.8,278,1729.0537
5,1498651200,283.61,290.4,292.6,282.56,1456.128
6,1498658400,290.44,284.7,291.39,283.87,1042.0068
7,1498665600,284.68,288.8,290.34,283.01,310.44
8,1498672800,288.8,294.5,294.97,287.1,356.8727
9,1498680000,294.97,293.2,297.21,292.82,528.29
10,1498687200,293.2,292.1,295.92,291.2,924.1136
11,1498694400,292.1,282.6,292.1,282,1285.03
12,1498701600,282.66,284.99,288.42,278.89,2842.6972
13,1498708800,285,289.28,291.76,284.47,2662.57
14,1498716000,289.28,288.89,290.1,285.42,2160.4899
15,1498723200,288.89,284.6,288.9,283.36,1795.0476
16,1498730400,284.6,279.4,284.6,275.19,1665.376
17,1498737600,279.5,283.9,285.15,278.63,1393.1452
18,1498744800,283.64,286.32,286.32,281.6,1083.5917
19,1498752000,286.32,290.1,294.66,284.91,332.4582
20,1498759200,290.1,291,293.98,289.58,308.67
21,1498766400,291,286.9,292.4,286.77,525.95
22,1498773600,286.9,284.4,289.71,284.4,896.48
23,1498780800,284.4,286.01,288.43,284.37,1120.57
24,1498788000,286.01,282.96,286.59,281.78,2847.9693
25,1498795200,282.97,286.21,286.21,282.85,2375.22
26,1498802400,286.21,283.8,288.01,283.01,2220.86
27,1498809600,283.8,286.4,286.8,283.35,1816.4672
28,1498816800,286.4,289.02,292.5,284.33,1788.8712
29,1498824000,289.02,287.3,291.28,286.56,1363.6107
30,1498831200,287.7,292,293.8,287.21,1039.73
31,1498838400,292.5,290,293.3,288.53,320.35
32,1498845600,290,289,291.99,288.01,341.81
33,1498852800,289,289.89,291,288.13,563.01
34,1498860000,289.89,286.1,292,284.42,886.5445
35,1498867200,286.1,285.5,287.78,283.8,1105.36
36,1498874400,285.2,282.18,285.2,281.28,2596.3307
37,1498881600,282.14,281.99,285,281.5,2405.2149
38,1498888800,281.99,285.8,285.88,281.2,2347.3274
39,1498896000,285.8,285.17,286.5,283.3,1874.66
40,1498903200,285.17,283.04,286.98,282.83,1615.9954
41,1498910400,283.3,282.71,286,281.99,1448.07
42,1498917600,282.71,283.31,284.99,281.69,1053.81
43,1498924800,284.73,283.1,285.5,281.89,298.14
44,1498932000,283.1,279.2,283.79,276.08,324.02
45,1498939200,279.2,273.41,279.49,273.4,568.71
46,1498946400,273.49,275.96,277.45,268.77,949.9005
47,1498953600,275.89,266.8,275.89,262.76,1336.8786
48,1498960800,266.38,264,267.55,258.1,3046.0123
49,1498968000,264,268.74,268.74,261.1,2318.0009
50,1498975200,268.81,269.2,269.84,265.74,2322.5568
51,1498982400,269.2,275.35,276.72,269.2,1935.1039
52,1498989600,275,273.25,275,271.02,1595.9163
53,1498996800,273.39,268.99,274.27,266.47,1379.496
54,1499004000,269,271.01,271.71,265.47,959.38
55,1499011200,271.01,273.7,276.3,271.01,315.6328
56,1499018400,273.7,277.02,277.02,273.5,314.5
57,1499025600,277.02,282.2,283,277.02,560.4225
58,1499032800,282.9,285,287.12,280.3,814.24
59,1499040000,285.32,281.56,285.37,278.9,1239.3863
60,1499047200,281.56,294.01,294.01,281.56,2766.5831
61,1499054400,294.86,313.75,323.46,291.4,3248.7974
62,1499061600,313.42,318,318.89,312,2333.7843
63,1499068800,318,312.94,318.09,309.5,1905.7386
64,1499076000,313,329.24,335.8,313,1926.77
65,1499083200,329,338.03,338.81,327.55,1288.53
66,1499090400,338.03,336,338.2,327.49,1041.49
67,1499097600,336,327.2,336.8,325.43,320.41
68,1499104800,326.99,328,331.51,325.5,363.3657
69,1499112000,328,332.89,334.98,327.5,526.1012
70,1499119200,332.2,319.99,333.88,319.14,883.949
71,1499126400,320,333,334.7,320,1075.6093
72,1499133600,333,348.2,354.07,332.2,2845.9699
73,1499140800,348.2,347.22,352.87,343,2629.1567
74,1499148000,347.22,347,350.39,343.66,2252.43
75,1499155200,347,347.8,353,345.6,2094.0102
76,1499162400,347.09,347.55,351,343.5,1673.9
77,1499169600,347.55,364.3,367.2,346.5,1459.2893
78,1499176800,364.3,357.67,374.88,351,1202.074
79,1499184000,357.67,352.62,357.67,345.3,327.3268
80,1499191200,352.62,358.05,358.29,352,323.1654
81,1499198400,356.77,365.7,368.03,356.33,577.1531
82,1499205600,365.7,373,375.75,358.8,942.573
83,1499212800,372.99,372,379.82,364,1144.6233
84,1499220000,371.91,372.3,373.4,366,2862.5396
85,1499227200,372,364,372.3,358.81,3031.2015
86,1499234400,363.99,349.5,365.21,349,2625.025
87,1499241600,349.6,364.4,366.88,348.14,2925.4306
88,1499248800,364.49,360.52,367.64,352.94,2028.7418
89,1499256000,361.1,352.13,361.9,352,1438.6531
90,1499263200,352.12,355.28,357.4,349.77,1514.85
91,1499270400,355.85,362.98,362.98,355.05,3094.57
92,1499277600,362.61,361.36,362.8,357.01,3197.14
93,1499284800,361.36,363.78,364.96,360,2802.97
94,1499292000,363.04,363.8,367.9,361.24,2966.08
95,1499299200,363.8,360.88,363.96,356.85,2975.54
96,1499306400,361.5,360.54,361.91,357.39,2974.67
97,1499313600,360.89,357.3,360.89,357.1,3109.23
98,1499320800,357.3,354.6,357.79,350.63,3213.32
99,1499328000,354.6,354.23,356.99,352.01,3076.4
100,1499335200,354,349.02,354.2,344.1,3104.78
101,1499342400,349.1,354.69,354.69,346.5,3090.8157
102,1499349600,354.69,349,356.21,345.5,3059.8
103,1499356800,349,351.4,352.4,346.61,2968.68
104,1499364000,351.4,350.84,353.2,349.23,3035.78
105,1499371200,350.84,355.9,355.9,350.07,3144.6
106,1499378400,355.26,350.72,356.15,350.58,3029.01
107,1499385600,350.61,346.57,351.07,346.2,3134.65
108,1499392800,346.99,339.33,347,334.5,3262.68
109,1499400000,339.33,339.21,341.65,336.7,3228.99
110,1499407200,339.78,332.54,341.28,330.21,3054.79
111,1499414400,332.54,331.56,336.21,330.21,3182.51
112,1499421600,331.56,325.32,335.94,323.97,3079.77
113,1499428800,325.5,321.37,327.27,316.01,2958.68
114,1499436000,321.37,328.68,328.99,318.2,3149.74
115,1499443200,328.68,334.7,337.35,328.68,3112.64
116,1499450400,334.7,323.1,334.89,321.51,3299.92
117,1499457600,323.17,312.31,324.03,306.67,3072.58
118,1499464800,312.31,317.18,321.98,305.4,3283.3595
119,1499472000,317.19,305.3,319.5,302.36,3148.41
120,1499479200,305.92,312.41,316.09,305.24,3243.4
121,1499486400,312.41,315.2,320.51,311.11,3109.71
122,1499493600,315.2,321.96,323.07,308.27,3083.9914
