,time,open,close,high,low,vol
0,1500768000,0.145,0.145,0.145,0.145,0.1
1,1500782400,0.145,0.145,0.145,0.145,0.1837
2,1500796800,0.15,0.19,0.235,0.15,8.7341
3,1500811200,0.19,0.19,0.5,0.173,61.2637
4,1500825600,0.19,0.184,0.21,0.184,24.4343
5,1500840000,0.184,0.15,0.2,0.15,111.0973
6,1500854400,0.2,0.2,0.2,0.2,0.132
7,1500868800,0.19,0.2,0.2,0.19,52.1926
8,1500883200,0.198,0.19999999,0.21,0.19780001,64.7328
9,1500897600,0.1991,0.1843,0.202,0.181,109.3437
10,1500912000,0.1843,0.1869,0.18799999,0.18,87.1929
11,1500926400,0.1869,0.16,0.1942,0.16,119.6971
12,1500940800,0.17300001,0.16,0.1964,0.16,126.591
13,1500955200,0.18400001,0.16,0.18400001,0.1388,162.7277
14,1500969600,0.1602,0.168,0.18269999,0.149,455.7228
15,1500984000,0.168,0.177,0.1798,0.131,443.5123
16,1500998400,0.17699999,0.156,0.177,0.156,19.8135
17,1501012800,0.156,0.159,0.17379999,0.137,81.6589
18,1501027200,0.159,0.153,0.1599,0.1401,662.3651
19,1501041600,0.152,0.1597,0.1599,0.145,653.5805
20,1501056000,0.1594,0.1404,0.1594,0.14,138.6881
21,1501070400,0.1404,0.17,0.2,0.12000002,1746.5879
22,1501084800,0.17959999,0.17,0.21,0.165,1444.6478
23,1501099200,0.1738,0.1453,0.1799,0.1451,232.6527
24,1501113600,0.1651,0.1788,0.1789,0.1472,210.0433
25,1501128000,0.1788,0.1777,0.1799,0.1661,377.5383
26,1501142400,0.1797,0.1664,0.18,0.1664,389.6764
27,1501156800,0.1664,0.1605,0.17639999,0.155,169.9208
28,1501171200,0.14780001,0.147,0.15999999,0.1451,138.1802
29,1501185600,0.1483,0.1453,0.1556,0.1451,97.8738
30,1501200000,0.1453,0.136,0.1515,0.135,286.0103
31,1501214400,0.136,0.109,0.136,0.08000001,396.5173
32,1501228800,0.12719999,0.118,0.12739999,0.11,248.7532
33,1501243200,0.126,0.14,0.165,0.126,1459.2414
34,1501257600,0.14,0.152,0.165,0.14,510.3955
35,1501272000,0.152,0.14,0.152,0.14,144.8804
36,1501286400,0.14,0.126,0.14799999,0.126,390.5724
37,1501300800,0.13,0.116,0.1398,0.116,223.1591
38,1501315200,0.116,0.1202,0.135,0.113,657.2682
39,1501329600,0.1228,0.12599999,0.12889999,0.12,444.3702
40,1501344000,0.12599999,0.128,0.1285,0.125,149.2588
41,1501358400,0.125,0.126,0.1285,0.125,103.4869
42,1501372800,0.126,0.1261,0.128,0.12000002,394.1836
43,1501387200,0.12599999,0.12,0.12599999,0.11510001,300.7067
44,1501401600,0.1199,0.1221,0.1249,0.11820001,60.535
45,1501416000,0.1221,0.1255,0.1289,0.1221,441.9151
46,1501430400,0.1255,0.125,0.12689999,0.125,221.9151
47,1501444800,0.126,0.124,0.1299,0.11700001,340.8004
48,1501459200,0.124,0.117,0.1244,0.1158,146.2687
49,1501473600,0.117,0.1215,0.1221,0.115,268.3209
50,1501488000,0.12,0.1,0.1213,0.1,317.7742
51,1501502400,0.1,0.1,0.10379999,0.0951,1742.6456
52,1501516800,0.1,0.1001,0.1149,0.1,733.9306
53,1501531200,0.1001,0.1005,0.108,0.1001,482.7649
54,1501545600,0.1005,0.1,0.10689999,0.1,701.8239
